"Image","Label1","Label2","Label3","Llama 8B","Llama 36B","Vicuna 8B"
"2023:02","Label1_value3","Label2_value1","Label3_value2","90.0000","94.2792","88.3262"
"2023:02","Label1_value1","Label2_value1","Label3_value4","90.1311","92.9558","88.3262"
"2023:06","Label1_value1","Label2_value2","Label3_value4","91.5085","94.9516","88.3262"
"2024:02","Label1_value3","Label2_value2","Label3_value3","90.0000","95.3547","88.3462"
"2023:06","Label1_value2","Label2_value2","Label3_value3","89.7450","94.4245","88.4145"
"2023:06","Label1_value2","Label2_value1","Label3_value1","92.4915","95.2123","88.5100"
"2023:02","Label1_value1","Label2_value1","Label3_value3","94.3917","95.1866","88.8091"
"2024:02","Label1_value1","Label2_value1","Label3_value2","93.6795","95.0641","89.3561"
"2023:06","Label1_value3","Label2_value1","Label3_value3","91.6410","95.1225","89.5157"
"2024:02","Label1_value3","Label2_value1","Label3_value4","94.7222","95.1809","89.5983"
"2024:02","Label1_value3","Label2_value2","Label3_value3","92.0171","95.2934","89.6838"
"2023:02","Label1_value2","Label2_value1","Label3_value4","91.6140","95.3746","89.7037"
"2023:02","Label1_value3","Label2_value1","Label3_value3","92.2350","95.3746","90.0484"
"2023:06","Label1_value2","Label2_value2","Label3_value2","94.4074","95.3974","89.9174"
"2023:06","Label1_value1","Label2_value2","Label3_value3","93.7778","95.3932","89.9302"
"2024:02","Label1_value2","Label2_value2","Label3_value2","94.7650","95.4017","89.9487"
"2023:08","Label1_value1","Label2_value1","Label3_value2","92.3234","95.4046","90.0114"
"2023:08","Label1_value2","Label2_value2","Label3_value1","94.7407","95.4088","90.3989"
"2023:08","Label1_value2","Label2_value2","Label3_value4","92.6254","95.4772","90.1724"
"2023:06","Label1_value1","Label2_value1","Label3_value1","92.3903","95.4915","90.1709"
"2023:06","Label1_value3","Label2_value1","Label3_value3","94.6838","95.5214","90.0356"
"2023:08","Label1_value3","Label2_value2","Label3_value3","94.1553","95.5456","90.1937"
"2023:02","Label1_value3","Label2_value2","Label3_value1","95.1838","95.5385","90.1952"
"2023:02","Label1_value2","Label2_value1","Label3_value1","94.5171","95.5698","90.2550"
"2023:08","Label1_value2","Label2_value2","Label3_value4","92.7322","95.5783","90.2707"
"2023:02","Label1_value1","Label2_value2","Label3_value1","95.2236","95.6054","90.0299"
"2023:08","Label1_value3","Label2_value2","Label3_value2","94.2023","95.6125","90.4174"
"2023:02","Label1_value2","Label2_value2","Label3_value2","94.9929","95.6453","90.4687"
"2024:02","Label1_value3","Label2_value2","Label3_value3","94.7877","95.6567","90.3860"
"2023:06","Label1_value2","Label2_value2","Label3_value3","93.9373","95.6980","90.4031"
"2023:02","Label1_value1","Label2_value1","Label3_value1","94.9330","95.7379","90.4217"
"2024:02","Label1_value3","Label2_value1","Label3_value3","95.1296","95.7194","90.6111"
"2023:02","Label1_value1","Label2_value2","Label3_value3","94.9672","95.7450","90.2635"
"2023:02","Label1_value3","Label2_value1","Label3_value2","93.9430","95.7877","90.5570"
"2023:02","Label1_value1","Label2_value2","Label3_value3","95.3818","95.8105","90.4915"
"2023:06","Label1_value1","Label2_value1","Label3_value2","95.1695","95.8219","90.4672"
"2023:06","Label1_value3","Label2_value2","Label3_value3","95.0883","95.8276","90.3476"
"2023:02","Label1_value1","Label2_value2","Label3_value1","94.7023","95.8533","90.6026"
"2023:02","Label1_value2","Label2_value1","Label3_value4","95.2678","95.8462","90.4316"
"2023:02","Label1_value1","Label2_value1","Label3_value3","94.8746","95.8761","90.5442"
"2024:02","Label1_value2","Label2_value2","Label3_value2","94.6923","95.9003","90.3048"
